airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay
MKE,2007,86640,86703,0.7183,0.6728,0.6779,16.08,13.78,2.99,18.64,1.98,0.96,4.75,17.83
MKE,2008,80819,80349,0.7409,0.7014,0.724,16.13,14.25,3.31,18.64,3.27,0.97,4.28,16.45
MKE,2009,74866,74974,0.7979,0.7646,0.7996,12.27,13.3,2.71,14.26,3.56,0.84,3.13,11.34
MKE,2010,85455,85584,0.7871,0.7547,0.7901,12.58,12.59,2.44,14.32,4.39,1.01,3.37,11.85
MKE,2011,76548,76746,0.7831,0.7428,0.7791,13.37,12.75,2.8,15.63,4.01,0.93,3.39,12.86
MKE,2012,56232,56653,0.7984,0.7681,0.7932,12.32,12.1,2.36,14.02,2.74,1.07,2.59,11.51
MKE,2013,50040,50304,0.7491,0.7026,0.7387,15.46,12.86,3.24,17.98,2.76,1.32,3.17,14.8
MKE,2014,47897,47869,0.7361,0.6938,0.7126,17.13,12.79,3.02,19.41,3.16,1.17,3.57,16.65
MSP,2004,254994,253293,0.8041,0.6918,0.8128,10.25,17.44,6.67,15.33,5.34,1.4,3.99,10.28
MSP,2005,250633,249613,0.7559,0.6256,0.7905,13.01,18.31,7.27,18.97,5.03,1.97,3.64,11.89
MSP,2006,222831,223060,0.8,0.7204,0.8074,10.9,16.83,5.12,14.83,3.66,2.16,3.36,11.05
MSP,2007,214837,213716,0.7719,0.6415,0.7327,13,19.31,7.27,19.32,4.42,3.49,5.49,16.2
MSP,2008,213811,212956,0.8013,0.7249,0.7952,11.11,17.93,4.83,14.97,4.36,2.02,3.96,12.48
MSP,2009,207765,207199,0.8252,0.7454,0.8063,9.81,17.59,4.7,13.71,4.29,2.24,3.73,11.8
MSP,2010,208609,207351,0.8012,0.7309,0.7997,11.44,17.27,4.3,14.97,4.06,2.37,3.23,11.85
MSP,2011,207583,207577,0.8267,0.7688,0.8255,10.31,16.51,3.72,13.26,4.1,1.45,2.61,10.67
MSP,2012,203576,203737,0.8493,0.8022,0.855,8.95,16.09,3.46,11.47,3.61,1.18,2.16,8.77
MSP,2013,206304,206694,0.8312,0.7433,0.8226,10.24,17.8,5.62,14.69,3.69,1.15,2.9,11.23
MSP,2014,197864,198012,0.7892,0.7255,0.8037,12.33,16.36,3.74,15.46,3.7,0.9,2.95,12.25
MSY,2004,63061,63323,0.8166,0.8019,0.7721,10.41,10.01,2.14,11.77,2.34,0.82,3.05,12.09
MSY,2005,46978,47441,0.7815,0.7617,0.7424,12.41,10.28,2.58,14.15,2.73,1.35,3.38,13.94
MSY,2006,39738,39639,0.7809,0.7574,0.7497,12.68,10.55,2.46,14.36,2.05,0.8,3.19,13.59
MSY,2007,46656,46787,0.7853,0.7538,0.7343,13.05,10.83,2.73,15.01,2.2,1.06,3.44,14.9
MSY,2008,49916,49920,0.7991,0.7735,0.7627,12.23,10.57,2.38,13.86,2.08,0.96,3.22,13.35
MSY,2009,45682,45770,0.8332,0.8067,0.7907,10.13,10.69,2.37,11.7,1.99,1.14,2.87,11.45
MSY,2010,46923,47188,0.8169,0.7898,0.7903,10.66,10.73,2.28,12.18,2.01,1.28,2.6,11.27
MSY,2011,48593,48753,0.8221,0.8,0.7925,10.53,10.57,2.1,11.85,1.96,1.17,2.51,11.31
MSY,2012,47684,47777,0.8259,0.8059,0.7955,10.37,10.42,2.02,11.61,1.67,1.2,2.37,10.98
MSY,2013,52334,52915,0.7943,0.7732,0.7647,11.84,10.42,2.13,13.12,1.72,1.18,2.69,13
MSY,2014,53045,53084,0.7739,0.751,0.7516,13.57,10.56,2.11,14.87,1.95,1.16,2.74,14.28
OAK,2004,96255,96429,0.7932,0.769,0.7908,10.21,10.58,2.48,12.21,3.78,0.91,2.62,10.76
OAK,2005,96605,96399,0.781,0.7551,0.7752,10.44,10.86,2.69,12.35,3.91,1.03,2.79,11.19
OAK,2006,98253,98229,0.7824,0.7546,0.7723,10.69,11,2.5,12.36,3.58,1.17,3.08,11.41
OAK,2007,100168,99687,0.7917,0.7525,0.7822,10.58,11.14,2.64,12.55,3.41,1.58,2.83,11.36
OAK,2008,87634,86950,0.8011,0.7798,0.785,10.36,10.22,1.97,11.63,2.55,0.89,2.36,11.24
OAK,2009,69111,68371,0.8181,0.8067,0.8246,9.29,9.27,1.45,10.16,2.07,0.72,1.58,8.55
OAK,2010,65832,65169,0.7772,0.7617,0.7899,11.06,9.16,1.61,12.03,2.17,0.69,1.9,10.5
OAK,2011,64045,63242,0.7792,0.7576,0.7906,11.11,9.2,1.82,12.39,1.89,0.73,1.76,10.61
OAK,2012,64124,63681,0.7932,0.7478,0.8041,10.62,10.37,2.85,12.92,1.98,1.18,1.91,10.12
OAK,2013,60321,60591,0.7596,0.7321,0.7742,12.28,9.52,1.94,13.79,1.5,0.69,1.58,11.86
OAK,2014,62502,62539,0.7003,0.6633,0.7139,15.03,10,2.22,16.97,1.98,1.37,2.44,14.93
OGG,2004,8355,8424,0.8645,0.8773,0.847,8.23,7.85,0.46,7.71,4.59,0.54,3.37,9.78
OGG,2005,35626,36108,0.8639,0.8669,0.8337,7.89,8.28,0.76,7.78,3.52,1.26,4.21,9.85
OGG,2006,37108,37218,0.882,0.8807,0.8596,6.69,7.75,1.05,6.89,2.9,0.82,3.7,8.01
OGG,2007,37476,35402,0.8871,0.8836,0.8719,7.57,7.52,1.04,7.9,2.63,0.62,3.15,7.89
OGG,2008,32036,29420,0.8755,0.8593,0.8606,9.61,7.79,1.56,10.54,1.86,0.93,3.52,8.6
OGG,2009,30677,30193,0.8957,0.8853,0.8749,6.28,8.01,1.28,6.9,1.51,0.68,3.64,7.12
OGG,2010,27206,27084,0.9029,0.8901,0.8718,5.81,8.47,1.56,6.54,1.43,0.75,3.94,7.15
OGG,2011,27142,27090,0.9097,0.8974,0.8803,6.12,8.61,1.46,6.85,1.24,0.62,3.18,7.25
OGG,2012,31181,31051,0.9,0.8883,0.8747,6.47,8.59,1.51,7.21,0.95,0.9,3.51,7.48
OGG,2013,30069,29737,0.8871,0.8743,0.8589,7.26,8.64,1.53,8,1.01,1.01,3.48,8.36
OGG,2014,34163,33547,0.9007,0.8881,0.8784,5.8,8.58,1.39,6.44,1.71,0.87,3.85,7.18
OMA,2004,9769,9740,0.781,0.7602,0.7523,12.11,10.94,2.43,13.63,2.28,0.59,2.73,13.01
OMA,2005,40412,40238,0.7747,0.7399,0.7392,12.4,11.47,3.2,14.61,2.56,1.07,3.18,13.97
OMA,2006,39777,40736,0.7485,0.7272,0.7197,13.87,11.13,2.23,15.44,2.06,0.86,3.27,15.25
OMA,2007,41352,41570,0.7288,0.6884,0.6866,16.58,12.42,3.44,19.22,2.11,1.08,3.78,17.38
OMA,2008,39881,39850,0.7488,0.7173,0.6956,15.9,12.16,2.9,17.93,2.09,0.95,3.68,16.71
OMA,2009,36834,36758,0.7816,0.7462,0.7561,12.63,12.34,2.99,14.75,2.28,1.37,3.27,12.81
OMA,2010,38331,38386,0.7917,0.7521,0.7558,11.94,12.12,2.8,13.91,2.56,0.77,2.84,13.08
OMA,2011,37305,37502,0.8049,0.7781,0.7599,11.34,11.68,2.21,12.8,2.33,0.55,2.67,13.33
OMA,2012,35067,35288,0.8177,0.7964,0.7764,10.82,11.3,1.92,12.01,1.67,0.66,2.03,12.24
OMA,2013,33253,33594,0.781,0.7446,0.7274,12.8,12.27,3,14.78,1.61,1.07,2.88,15.16
OMA,2014,33241,33237,0.766,0.7386,0.7097,13.69,11.8,2.08,15.15,2.34,0.69,3.27,16.92
ONT,2004,54166,54076,0.7729,0.7488,0.8078,12.33,9.78,2.63,14.25,1.72,0.77,2.39,9.88
ONT,2005,54110,54080,0.7557,0.7241,0.777,12.5,10.23,2.92,14.66,2.04,1.04,2.77,11.11
ONT,2006,53893,54211,0.7384,0.6991,0.7822,13.85,10.96,3.06,16.15,1.85,0.88,2.81,11.08
ONT,2007,59098,58758,0.7602,0.7229,0.7927,13.2,11.28,3.15,15.35,1.66,0.77,2.21,11.05
ONT,2008,51391,51123,0.7421,0.7122,0.787,15.22,10.91,2.8,17.07,1.13,0.74,2.11,11.28
ONT,2009,40278,39956,0.7698,0.7554,0.8086,13.86,9.88,1.92,14.94,1.19,0.45,1.33,9.61
ONT,2010,37332,37205,0.7561,0.7421,0.7904,14.72,9.65,1.81,15.83,1.12,0.45,1.5,10.38
ONT,2011,35796,35541,0.753,0.7306,0.792,14.62,9.73,2.14,16.13,1.11,0.52,1.56,10.51
ONT,2012,33371,33168,0.7727,0.7491,0.8086,13.78,9.91,2.22,15.38,1.03,0.59,1.36,9.96
ONT,2013,32031,31743,0.7475,0.7211,0.7709,15.26,10.14,2.33,17.08,1.15,0.56,1.61,11.97
ONT,2014,32791,32476,0.7161,0.6824,0.7347,16.92,10.79,2.65,19.09,1.47,0.56,2.1,14.01
ORD,2004,485187,484859,0.7179,0.5739,0.721,17.79,20.23,9.36,25.86,3.19,3.34,5.81,19.19
ORD,2005,473216,474168,0.7242,0.6108,0.7672,16.76,19.03,7.45,23.14,3.05,3.15,4.11,15.45
ORD,2006,466079,467039,0.7036,0.5881,0.71,19.66,19.33,7.75,26.29,3.56,2.82,5.59,21.15
ORD,2007,455562,455118,0.6854,0.5769,0.6909,20.81,19.02,7.63,27.34,3.81,3.22,5.73,22.44
ORD,2008,431539,431421,0.7049,0.6115,0.7062,19.94,18.67,7.04,25.98,3.9,3.34,5.44,21.9
ORD,2009,404978,404952,0.7916,0.7251,0.8063,13.25,16.78,5.13,17.31,3.65,3.84,3.6,13.39
ORD,2010,430948,430618,0.7803,0.709,0.7938,14.09,16.26,5.05,18.26,2.48,3.31,3.54,14.33
ORD,2011,429476,428779,0.7605,0.6827,0.7772,15.61,16.55,5.6,20.2,2.16,3.18,3.59,16.03
ORD,2012,427374,427768,0.7707,0.6981,0.8069,14.45,16.06,4.97,18.5,1.89,3.16,2.74,13.31
ORD,2013,425352,428767,0.7094,0.6275,0.7521,18.64,16.6,5.46,23.49,2.26,3.98,3.71,17.51
ORD,2014,430429,430750,0.6787,0.5784,0.705,20.21,17.5,6.17,25.88,3.47,6.18,5.05,20.09
OXR,2004,731,717,0.8837,0.87,0.8591,6.75,7.24,1.73,7.46,1.17,0.36,1.42,8.42
OXR,2005,2730,2817,0.8905,0.8696,0.8424,5.35,7.95,2.11,6.44,1.58,0.41,2.11,7.86
OXR,2006,2194,2191,0.8323,0.8067,0.7408,7.73,9.67,3.29,9.41,1.66,0.83,2.97,12.67
OXR,2007,2044,1928,0.8728,0.8488,0.8185,6.27,10.11,2.62,7.9,1.53,0.9,2.78,8.98
OXR,2008,1841,1768,0.8838,0.8631,0.8479,5.44,10.52,2.33,6.54,1.76,0.57,2.01,8.16
OXR,2009,1649,1504,0.8757,0.8739,0.8763,5.92,9.33,1.35,6.29,1.43,0.43,1.53,6.33
OXR,2010,955,948,0.8628,0.8545,0.8492,6.21,8.69,0.86,6.52,1.42,0.55,2.31,7.65
OXR,2011,360,486,0.7389,0.6833,0.7469,13.05,8.91,1.86,14.96,2.32,1.1,2.88,16.2
OXR,2012,485,559,0.7608,0.7443,0.7871,10.07,9.76,1.54,11.67,1.59,0.79,2.1,13.88
OXR,2013,531,610,0.8606,0.855,0.8344,6.59,11.17,0.14,6.76,1.23,0,1.56,7.49
OXR,2014,530,639,0.834,0.8283,0.82,7.76,11.26,0.15,8.01,1.03,0,1.23,9.44
PBI,2004,44816,43468,0.7396,0.7109,0.6915,12.92,12.81,2.75,14.74,3.02,0.44,4.16,16.45
PBI,2005,44764,42951,0.6871,0.655,0.6567,16.2,12.58,2.78,18.29,3.19,0.76,4.82,18.74
PBI,2006,45031,43552,0.7026,0.6656,0.6858,15.15,13.13,3.17,17.54,2.37,0.8,4.01,16.47
PBI,2007,47394,46148,0.6927,0.6576,0.6611,16.42,13.26,2.99,18.71,2.71,0.87,4.64,18.65
PBI,2008,43427,42451,0.6972,0.6686,0.6665,17.29,13,2.54,19.21,2.35,0.89,5.02,18.72
PBI,2009,35423,34681,0.7105,0.6857,0.6971,16.04,12.71,2.52,17.76,1.78,0.75,4.3,16.59
PBI,2010,36664,35608,0.7167,0.6927,0.6965,15.53,12.52,2.25,17.02,1.96,0.76,3.76,16.68
PBI,2011,36530,35262,0.7117,0.6872,0.6989,15.65,12.62,2.35,17.2,1.96,0.65,3.61,16.5
PBI,2012,35521,34510,0.7188,0.6917,0.7044,14.72,12.94,2.49,16.4,2.13,0.75,3.39,15.79
PBI,2013,35800,34995,0.6705,0.6426,0.662,17.67,13.02,2.2,19.45,2.2,0.64,4.18,18.01
PBI,2014,37466,36904,0.6586,0.6297,0.6439,18.58,13.11,2.21,20.42,2.93,0.78,5.03,20.17
PDX,2004,107790,107597,0.8304,0.819,0.8132,9.2,10.01,1.78,10.05,2.58,0.56,2.7,9.69
PDX,2005,110782,110230,0.7933,0.7733,0.7808,11.06,10.28,2.16,12.41,2.62,0.98,2.89,11.27
PDX,2006,111646,111969,0.7963,0.776,0.7792,10.93,10.92,2.15,12.22,2.54,0.69,3.41,11.46
PDX,2007,114531,113943,0.8052,0.7815,0.7813,10.77,10.97,1.96,12.2,2.41,0.73,3.37,11.7
PDX,2008,107888,108006,0.8231,0.8037,0.8075,9.99,11.17,2.04,11.2,2.32,0.79,2.98,10.38
PDX,2009,96802,96828,0.8499,0.826,0.8439,8.14,11.54,2.39,9.68,2.19,0.85,2.33,8.16
PDX,2010,97133,96705,0.8393,0.8244,0.8396,8.77,11.01,1.69,9.74,2.12,0.7,2.08,8.46
PDX,2011,92795,93153,0.8448,0.8187,0.8255,8.41,11.48,2.3,10.02,2.25,0.8,2.53,9.2
PDX,2012,92223,92392,0.8578,0.8421,0.848,7.97,10.81,1.62,8.98,2.09,0.62,2.16,8.3
PDX,2013,92554,91943,0.8373,0.8163,0.8293,9.07,11.54,2.07,10.38,2.01,0.8,2.74,9.26
PDX,2014,94828,94702,0.8275,0.8082,0.8137,9.47,11.29,1.92,10.65,1.98,0.75,3.31,10.13
PHL,2004,225283,224381,0.7136,0.5482,0.7296,16.68,21.38,9.79,24.85,7.58,2.44,4.96,16.39
PHL,2005,252534,250524,0.6797,0.5215,0.7159,19.11,20.8,9.67,27.5,6.22,2.57,4.37,17.98
PHL,2006,241870,240724,0.6982,0.5083,0.7007,18.18,21.56,10.81,27.53,6.66,2.25,4.7,19.02
PHL,2007,232583,233078,0.6878,0.4887,0.6839,19.64,22.09,11.2,30.2,7.65,2.31,4.94,20.61
PHL,2008,229700,230105,0.7554,0.604,0.7376,15.75,20.2,8.42,23.37,7.82,2.02,4.28,17.64
PHL,2009,220842,220753,0.767,0.5992,0.738,14.77,20.73,9.44,23.51,7.21,2.39,4.65,16.84
PHL,2010,214485,214971,0.7824,0.6507,0.77,13.4,18.95,7.49,19.97,6.41,1.96,3.5,14.13
PHL,2011,213255,213163,0.7488,0.6371,0.7279,16.17,19.41,6.56,22.03,6.36,1.78,3.72,17.82
PHL,2012,211377,211189,0.7969,0.6951,0.7705,12.28,18.5,5.6,17.15,4.72,1.67,3.07,13.95
PHL,2013,206945,206032,0.7808,0.6711,0.7347,13.74,18.78,6.56,19.25,4.4,1.55,3.82,16.72
PHL,2014,200550,200637,0.7681,0.6625,0.7404,14.27,18.74,6.13,19.66,4.87,1.81,3.39,16.32
PHX,2004,240020,239521,0.7534,0.6639,0.7905,12.68,14.04,4.85,16.82,3.8,1.6,2.84,11.56
PHX,2005,249530,248195,0.7483,0.6443,0.8026,12.44,14.42,5.24,16.98,3.87,1.92,2.51,10.82
PHX,2006,245896,244854,0.7801,0.6797,0.7915,11.64,14.84,5.57,16.15,3.58,2.44,3.19,11.31
PHX,2007,240059,239897,0.7679,0.6578,0.7722,12.87,14.8,5.59,17.76,2.97,2.58,3.37,12.46
PHX,2008,226663,226405,0.8033,0.7129,0.8009,10.96,15.1,5.44,15.22,2.45,2.25,3.56,11.07
PHX,2009,208700,208786,0.8255,0.7496,0.8319,9.34,14.63,4.5,12.75,2.07,2.16,3.18,9.07
PHX,2010,205899,206051,0.8307,0.7509,0.8452,9.11,14.94,4.88,12.76,1.76,2.3,2.59,8.52
PHX,2011,213870,213498,0.8244,0.7746,0.8444,9.64,13.84,3.77,12.08,2.65,2.24,2.54,8.73
PHX,2012,207667,207206,0.8417,0.7734,0.8518,8.52,14.52,4.55,11.66,2.34,2.82,2.57,8.02
PHX,2013,200341,199957,0.8126,0.7323,0.831,9.86,14.63,4.81,13.44,1.92,2.3,2.71,9.29
PHX,2014,200278,199312,0.7828,0.7177,0.809,11.94,14.53,4.21,14.99,2.5,2.23,2.89,10.91
PIT,2004,150501,150689,0.7964,0.7653,0.8164,11.86,13.72,2.68,13.43,3.72,0.65,2.49,10.72
PIT,2005,117635,117752,0.7999,0.7615,0.7954,12.07,13.11,3.07,14.05,2.99,1.07,2.54,12.06
PIT,2006,104606,104602,0.809,0.7602,0.7842,11.72,13.83,3.84,14.51,2.79,1.14,3.11,12.72
PIT,2007,92901,93107,0.7707,0.7143,0.7296,14.73,14.33,3.7,17.76,3.26,1.22,3.58,16.39
PIT,2008,71863,72058,0.7655,0.7052,0.7531,15.41,14.31,3.81,18.46,3.14,1.33,3.35,15.01
PIT,2009,61447,61411,0.7941,0.7378,0.7865,13.09,14,3.49,15.83,2.78,1.02,2.66,12.37
PIT,2010,60738,60748,0.8088,0.7386,0.7848,12.1,14.34,4.01,15.28,2.62,1.02,2.72,12.31
PIT,2011,63078,63037,0.7774,0.7329,0.7581,14.26,13.3,2.9,16.36,2.6,0.99,3.01,14.32
PIT,2012,58244,58161,0.8107,0.7727,0.7883,11.73,12.95,2.63,13.53,2.01,1.04,2.26,12.15
PIT,2013,59106,59132,0.7887,0.7231,0.7631,13.18,13.52,3.58,16.1,2.06,1.23,2.65,14.12
PIT,2014,58332,58291,0.777,0.7409,0.7498,13.76,12.42,2.37,15.3,2.21,1.21,2.8,15.1
PSP,2007,17764,17852,0.7411,0.7053,0.7011,13.53,11.4,3.03,15.56,2.48,1,3.52,15.67
PSP,2008,16005,16036,0.7683,0.7321,0.7312,12.35,12.16,3.1,14.32,2.82,1.17,3.71,13.87
PSP,2009,14802,14837,0.8128,0.7919,0.7853,10.22,11.9,2.32,11.52,2.67,0.68,2.88,10.95
PSP,2010,14769,14859,0.7944,0.7699,0.7574,11.54,11.77,2.5,12.97,3.07,0.73,3.12,12.86
PSP,2011,14458,14632,0.7738,0.7484,0.7484,12.76,11.89,2.64,14.33,3.35,0.77,3.3,13.57
PSP,2012,15601,15682,0.7692,0.7362,0.7587,14,12.51,3.14,15.98,3.23,0.84,3.2,12.85
PSP,2013,15346,15242,0.7754,0.7483,0.7683,14.15,12.5,2.72,15.76,2.89,0.95,2.91,12.66
PSP,2014,16231,16208,0.7632,0.7332,0.7512,14.56,12.67,2.74,16.29,3.19,0.99,3.78,13.81
PVD,2004,11349,11393,0.7967,0.7554,0.7633,12.17,12.94,3.73,14.82,4.08,0.72,2.55,13.08
PVD,2005,42324,42517,0.7917,0.7522,0.7621,12.52,12.12,3.41,15.03,4.14,0.88,2.97,13.36
PVD,2006,38925,39178,0.7857,0.7539,0.7516,13.01,11.8,3.05,15.1,3.69,0.79,2.89,13.99
PVD,2007,38544,38598,0.7536,0.711,0.705,16.41,12.15,3.32,19.15,3.75,0.94,3.1,17.67
PVD,2008,34486,34449,0.778,0.7426,0.7553,14.78,12.14,3.05,17.02,3.7,0.8,2.74,14.73
PVD,2009,30672,30647,0.7929,0.7594,0.7815,13.59,11.88,2.88,15.62,3.35,0.79,2.44,12.26
PVD,2010,29377,29257,0.8011,0.7577,0.77,12.17,12.3,3.03,14.29,3.51,0.63,2.58,12.7
PVD,2011,28435,28405,0.7802,0.7535,0.7676,14.61,12,2.44,16.16,3.27,0.7,2.24,13.97
PVD,2012,24534,24491,0.7971,0.7779,0.7784,13.17,11.22,1.89,14.19,2.93,0.66,2.11,12.56
PVD,2013,23919,23904,0.7783,0.7359,0.7522,14.17,12.02,3.14,16.49,2.62,0.69,2.47,14.02
PVD,2014,22281,21619,0.7845,0.7601,0.7381,13.35,11.61,1.98,14.73,2.5,0.66,2.15,15.11
RDU,2004,91681,92066,0.7774,0.7437,0.7482,13.02,12.25,3.27,15.22,2.39,1.17,3.47,14.07
RDU,2005,92688,92884,0.7808,0.7412,0.7541,12.61,12.41,3.49,15.22,2.32,1.23,3.02,13.8
RDU,2006,88135,88308,0.7544,0.7122,0.7248,14.76,13.08,3.76,17.55,2.47,1.16,3.55,15.98
RDU,2007,92590,92877,0.7479,0.7038,0.7127,15.65,13.49,3.85,18.67,2.64,1.39,3.54,17.23
RDU,2008,82686,82877,0.7737,0.7241,0.7281,14.46,13.82,4.08,17.59,2.83,1.34,3.79,16.46
RDU,2009,73183,73439,0.798,0.7486,0.7757,12.79,14.18,4.07,15.83,2.66,1.12,3.29,13.07
RDU,2010,70023,70222,0.7987,0.7516,0.7737,12.47,13.87,3.53,15.03,2.6,0.97,2.63,13.01
RDU,2011,71200,71153,0.7824,0.7408,0.7668,13.83,13.68,3.2,16.04,2.44,0.86,2.69,13.63
RDU,2012,68663,68555,0.8108,0.7708,0.7992,11.89,13.58,3.15,14.05,2.16,0.93,2.11,11.53
RDU,2013,67514,67182,0.7843,0.7276,0.7636,13.8,14.42,4.14,16.86,2.25,1.28,2.74,13.8
RDU,2014,67367,67330,0.7563,0.7179,0.752,15,13.67,2.83,17.11,2.47,0.9,2.8,14.55
RFD,2004,1946,1935,0.6912,0.6598,0.7907,13.2,7.04,1.78,14.5,2.27,0.81,3.6,11.39
RFD,2005,7951,7856,0.7536,0.7214,0.7514,11.31,7.57,2.21,12.7,1.64,0.62,3.16,12.01
RFD,2006,8649,8564,0.6907,0.6568,0.7287,13.58,7.96,2.32,15.1,2.16,0.85,4.08,13.46
RFD,2007,9005,8979,0.684,0.6338,0.7453,13.41,8.53,2.35,15.39,2.31,0.77,4.57,13.18
RFD,2008,8074,8011,0.6886,0.6417,0.7445,14.56,8.52,2.31,16.28,2.19,0.76,4.26,13.16
RFD,2009,6156,6016,0.7854,0.7508,0.7947,10.58,7.81,1.65,12.11,1.79,0.25,3.06,10.21
RFD,2010,5439,5401,0.7404,0.7038,0.7413,12.72,8.63,2.12,14.79,1.77,0.38,2.55,12.28
RFD,2011,5094,5052,0.7899,0.7905,0.7838,10.78,10.67,0.1,10.63,1.46,0.02,1.74,10.49
RFD,2012,4856,4762,0.793,0.7807,0.7934,9.76,10.51,0.48,10.22,1.24,0.03,1.46,10.22
RFD,2013,4570,4445,0.754,0.7425,0.766,12.23,11.15,0.31,12.75,1.41,0.02,1.97,11.25
RFD,2014,4500,4481,0.7836,0.7702,0.8076,11.21,11.34,0.27,11.79,2.18,0,2.64,11.05
RSW,2004,9204,9199,0.8228,0.8101,0.756,10.72,12.93,2.09,11.69,1.64,0.82,3.39,13.63
RSW,2005,39361,39446,0.7828,0.7557,0.7208,12.86,13.46,2.76,14.55,2.1,1.6,4.89,14.91
RSW,2006,38541,38574,0.7949,0.7687,0.7364,12.31,12.88,2.44,13.94,2.49,1.79,4.82,13.96
RSW,2007,40564,40640,0.7825,0.7528,0.7281,13.44,12.63,2.64,15.27,2.62,1.41,4.86,14.86
RSW,2008,38640,38758,0.8106,0.7892,0.7679,12.09,12.21,2.21,13.54,2.05,0.54,4.4,13.18
RSW,2009,35902,35903,0.8298,0.8077,0.7976,10.47,11.98,2.2,11.86,2.3,0.75,3.7,11.06
RSW,2010,36391,36472,0.833,0.81,0.7882,10.55,11.97,2.23,12.01,2.46,0.86,3.58,11.72
RSW,2011,36450,36385,0.8199,0.7929,0.7812,11.34,12.13,2.42,12.89,2.28,0.94,3.67,12.27
RSW,2012,34601,34659,0.8523,0.8297,0.811,8.99,11.97,2.24,10.33,2.13,0.88,3.24,10.36
RSW,2013,35396,35252,0.8139,0.788,0.7735,11.66,12.21,2.34,13.25,2.19,1.03,3.88,12.59
RSW,2014,34687,34572,0.7816,0.7525,0.7558,13.91,12.31,2.45,15.67,2.61,1.02,3.93,14.58
SAN,2004,96361,95914,0.8296,0.795,0.7877,8.8,12.86,3.49,11.21,2.62,0.94,3.04,11.05
SAN,2005,102281,101518,0.8202,0.776,0.7774,9.32,13.3,3.81,12.15,2.63,1.16,3.22,11.49
SAN,2006,102803,102972,0.8189,0.777,0.7733,9.64,13.18,3.5,12.15,2.55,1,3.11,11.49
SAN,2007,106794,107009,0.8176,0.7655,0.7727,10.11,13.79,4.03,13,2.73,1.09,2.96,12.26
SAN,2008,103786,104107,0.8091,0.7654,0.7727,11.02,13.62,3.75,13.61,2.66,0.98,3.19,12.36
SAN,2009,91757,92101,0.83,0.8021,0.8048,9.56,12.95,3.04,11.45,2.61,0.89,2.51,10.11
SAN,2010,87436,87619,0.8166,0.7808,0.804,10.2,12.88,3.11,12.35,2.37,0.86,2.21,10.3
SAN,2011,85528,85655,0.8161,0.7803,0.7936,10.36,12.92,3.17,12.54,2.02,0.83,2.52,11.03
SAN,2012,86058,86414,0.8273,0.7819,0.8065,10.32,13.37,3.63,12.91,1.96,1.06,2.13,10.76
SAN,2013,86848,87415,0.802,0.7573,0.7791,11.26,13.52,3.71,13.83,1.95,0.97,2.39,11.87
SAN,2014,90092,90007,0.7792,0.7378,0.7647,12.82,13.68,3.58,15.2,2.1,0.87,2.46,13.07
SAT,2004,53755,54414,0.7849,0.7684,0.751,11.87,9.97,2.37,13.48,2.88,0.68,3.35,13
SAT,2005,53524,54155,0.7943,0.7735,0.7637,11.22,10.08,2.36,12.83,2.67,0.97,2.79,12.23
SAT,2006,56908,57817,0.7895,0.7691,0.7511,11.92,10.51,2.42,13.42,2.75,0.85,3.03,13.31
SAT,2007,59403,60046,0.7702,0.7403,0.7189,13.35,11.11,2.66,15.21,3.28,0.95,3.63,15.26
SAT,2008,58527,58757,0.7904,0.7636,0.7442,12.26,11.2,2.58,14.01,2.56,0.94,3.14,14.02
SAT,2009,52057,52241,0.8059,0.7851,0.7788,11.05,10.55,1.95,12.29,2.66,0.8,2.55,12.23
SAT,2010,52583,52984,0.7948,0.7721,0.764,11.64,10.57,2.1,12.98,2.36,0.92,2.45,13.12
SAT,2011,52547,52923,0.8078,0.7782,0.7862,11.09,11.22,2.63,12.81,1.71,0.97,2.25,11.94
SAT,2012,53839,53996,0.8082,0.7789,0.784,10.82,11.39,2.74,12.58,1.69,1.1,2.45,11.76
SAT,2013,53652,54020,0.782,0.76,0.7557,12.12,11.14,2.15,13.44,1.68,0.86,2.66,13.21
SAT,2014,53144,53325,0.7601,0.7356,0.7323,13.55,11.07,2.07,14.86,2.17,1.02,2.84,15.2
SDF,2004,71480,71254,0.6908,0.6431,0.7361,14.27,11.73,3.13,16.62,3.14,1.09,4.52,13.33
SDF,2005,74853,74918,0.6405,0.5939,0.7037,16.32,11.85,3.39,18.97,3.17,1.49,4.82,14.63
SDF,2006,72888,72864,0.6283,0.5702,0.6786,17.06,13.09,3.95,20.27,3.52,1.67,5.65,15.97
SDF,2007,76091,75865,0.7061,0.6413,0.7182,14.87,12.91,3.34,17.54,3.4,1.17,4.63,14.6
SDF,2008,69842,69458,0.7034,0.645,0.7157,15.22,12.7,3.03,17.72,3.51,1.29,5.13,14.97
SDF,2009,63330,62958,0.7311,0.6821,0.7467,14.04,12.57,2.59,16.18,2.99,0.93,4.18,12.52
SDF,2010,65983,65408,0.7105,0.6739,0.729,14.7,12.62,2.49,16.54,3.23,0.88,3.98,13.52
SDF,2011,66057,65376,0.7105,0.6952,0.7288,14.57,11.91,1.58,15.48,3.22,0.6,3.98,13.58
